Example for datastructure of raw data			
			
Delay	Wavenumber	deltaOD	deltaOD_std
-700007.3971	1837.979487	XXXX	YYYY
-700007.3971	1841.651292	XXXX	YYYY
-700007.3971	1845.341199	XXXX	YYYY
-700007.3971	1849.049318	XXXX	YYYY
-700007.3971	1852.775762	XXXX	YYYY
-700007.3971	1856.520646	XXXX	YYYY
-700007.3971	1860.284083	XXXX	YYYY
-700007.3971	1864.066191	XXXX	YYYY
-700007.3971	1867.867084	XXXX	YYYY
-700007.3971	1871.686881	XXXX	YYYY
-700007.3971	1875.525701	XXXX	YYYY
-700007.3971	1879.383662	XXXX	YYYY
-700007.3971	1883.260886	XXXX	YYYY
-700007.3971	1887.157493	XXXX	YYYY
-700007.3971	1891.073606	XXXX	YYYY
-700007.3971	1895.009349	XXXX	YYYY
-700007.3971	1898.964845	XXXX	YYYY
-700007.3971	1902.940222	XXXX	YYYY
-700007.3971	1906.935604	XXXX	YYYY
-700007.3971	1910.95112	XXXX	YYYY
-700007.3971	1914.986899	XXXX	YYYY
-700007.3971	1919.04307	XXXX	YYYY
-700007.3971	1923.119765	XXXX	YYYY
-700007.3971	1927.217114	XXXX	YYYY
-700007.3971	1931.335252	XXXX	YYYY
-700007.3971	1935.474312	XXXX	YYYY
-700007.3971	1939.63443	XXXX	YYYY
-700007.3971	1943.815743	XXXX	YYYY
-700007.3971	1948.018388	XXXX	YYYY
-700007.3971	1952.242504	XXXX	YYYY
-700007.3971	1956.488231	XXXX	YYYY
-700007.3971	1960.75571	XXXX	YYYY
-700007.3971	1965.045084	XXXX	YYYY
-700007.3971	1969.356496	XXXX	YYYY
-700007.3971	1973.690092	XXXX	YYYY
-700007.3971	1978.046018	XXXX	YYYY
-700007.3971	1982.424421	XXXX	YYYY
-700007.3971	1986.82545	XXXX	YYYY
-700007.3971	1991.249256	XXXX	YYYY
-700007.3971	1995.695988	XXXX	YYYY
-700007.3971	2000.165801	XXXX	YYYY
-700007.3971	2004.658848	XXXX	YYYY
-700007.3971	2009.175285	XXXX	YYYY
-700007.3971	2013.715268	XXXX	YYYY
-700007.3971	2018.278956	XXXX	YYYY
-700007.3971	2022.866508	XXXX	YYYY
-700007.3971	2027.478085	XXXX	YYYY
-700007.3971	2032.11385	XXXX	YYYY
-700007.3971	2036.773967	XXXX	YYYY
-700007.3971	2041.458601	XXXX	YYYY
-700007.3971	2046.167918	XXXX	YYYY
-700007.3971	2050.902088	XXXX	YYYY
-700007.3971	2055.66128	XXXX	YYYY
-700007.3971	2060.445665	XXXX	YYYY
-700007.3971	2065.255417	XXXX	YYYY
-700007.3971	2070.09071	XXXX	YYYY
-700007.3971	2074.95172	XXXX	YYYY
-700007.3971	2079.838625	XXXX	YYYY
-700007.3971	2084.751604	XXXX	YYYY
-700007.3971	2089.690839	XXXX	YYYY
-700007.3971	2094.656512	XXXX	YYYY
-700007.3971	2099.648807	XXXX	YYYY
-700007.3971	2104.66791	XXXX	YYYY
-700007.3971	2109.71401	XXXX	YYYY
-689997.4722	1837.979487	XXXX	YYYY
É	É	É	É
